date,count,text
Jul 2011,7,I'm....I'm a what?!
Jul 2011,7,I'm....I'm a what?!
Jul 2011,7,I'm....I'm a what?!
Jul 2011,7,I'm....I'm a what?!
Jul 2011,7,I'm....I'm a what?!
Jul 2011,7,I'm....I'm a what?!
Jul 2011,7,I'm....I'm a what?!
Sep 2013,7,Les homosexuelle wallah vous ete pas sah regardé ske vous raté !!!!! http://t.co/Vpz31Iz8oP
Sep 2013,7,Les homosexuelle wallah vous ete pas sah regardé ske vous raté !!!!! http://t.co/Vpz31Iz8oP
Sep 2013,7,"If the U.S. attacks Syria and hits the wrong targets, killing civilians, there will be worldwide hell to pay. Stay away and fix broken U.S."
Sep 2013,7,El mejor fichaje del verano lo hizo el @Arsenal !!! Crack http://t.co/fQoatNhcpw
Sep 2013,7,Les homosexuelle wallah vous ete pas sah regardé ske vous raté !!!!! http://t.co/Vpz31Iz8oP
Sep 2013,7,Les homosexuelle wallah vous ete pas sah regardé ske vous raté !!!!! http://t.co/Vpz31Iz8oP
Sep 2013,7,They Live is a documentary!!
Feb 2013,5,@GrogsGamut We will never reach peak stupid. It's an infinite resource.
Feb 2013,5,"""now he's got a best friend instead of a wife, but he feels like he stole the best years of her life."""
Feb 2013,5,FLACCO IS A MONSTER !!!!!
Feb 2013,5,FLACCO IS A MONSTER !!!!!
Feb 2013,5,ไม่มีตังค์ !! อดไปชอปปิ้งเลย :(
Jun 2013,5,Id:52788040
Jun 2013,5,#wa
Jun 2013,5,Dear fifth harmony. Please. Announce. The. Single. Release. Date. And. The. Name. Of. The Song. This. Week. Thank you. Simon. X
Jun 2013,5,Dear fifth harmony. Please. Announce. The. Single. Release. Date. And. The. Name. Of. The Song. This. Week. Thank you. Simon. X
Jun 2013,5,"Asked my motorcycle mechanic if the few drops of oil on the garage floor were anything to worry about. 

""Nah, every good racehorse sweats."""
Nov 2012,5,The electoral college is a disaster for a democracy.
Nov 2012,5,The electoral college is a disaster for a democracy.
Nov 2012,5,"It makes me feel so good to hit ""sleazebags"" back -- much better than seeing a psychiatrist (which I never have!)"
Nov 2012,5,hai
Nov 2012,5,Get #UNALOPOGETIC first before it even hits stores http://t.co/FM5pL4US
Apr 2012,5,#josefinapuede trabajar con México y para México
Apr 2012,5,Thank god madagascar 3 is coming out. Just didnt get the closure i needed with the first 2
Apr 2012,5,Ja ganhei 91 seguidores no http://t.co/dZ1IcyDA #HighFollows
Apr 2012,5,EEEBA. Seguidores de graca =D  http://t.co/PfHcI83y #HighFollows
Apr 2012,5,"fun
""I never did a day\u2019s work in my life. It was all #fun."" Edison, who else :)"
May 2013,5,@rihanna - u r one amazing young woman - carry on - cant wait to see all u will do !!
May 2013,5,Pick up artists and garbage men should switch names.
May 2013,5,ScreenName:BeingCancerFree
May 2013,5,@rihanna - u r one amazing young woman - carry on - cant wait to see all u will do !!
May 2013,5,"i hate talking on the phone.

i hate talking on the phone even more when i need to call someone to reschedule a date and their mom picks up."
Jan 2013,3,I'm using CallApp: An amazing Dialer &amp; Social Caller ID. You should try it! http://t.co/N4Gidast @GetCallApp http://t.co/SRdcmHiq
Jan 2013,3,Biff man var 😏 http://t.co/g3hEuFWV
Jan 2013,3,Prison is not the end God reaches out even there.
